,campaign_id,campaign_name,platform,start_date,end_date,users_acquired_count,retention_7d_pct,retention_30d_pct,retention_90d_pct,premium_conversion_pct,nps_score,cac,total_spend,roi,performance_category,hooks,offers,tone,pain_points_emphasized,creative_format
10,1b029770,Campaign_4938,Facebook,2023-08-18,2023-11-09,9544,68.4,56.49,26.34,0.96,76.6,35.44,33150.67,1.72,Top ROI,Upgrade today,Early access,Motivational,"Highlighting budget-friendly options, Showcasing behind-the-scenes content, Targeting young professionals, Emphasizing product versatility",carousel
11,ac6286a9,Campaign_5273,Facebook,2023-09-17,2023-09-30,9327,70.66,66.99,42.44,10.47,74.2,62.06,14405.79,2.21,Top ROI,Exclusive for members,Free upgrade,Urgent,"Highlighting long-term cost savings, Showcasing customer success stories, Focus on time-saving features, Promoting seasonal discounts",static
12,d2810305,Campaign_8213,LinkedIn,2023-09-06,2023-12-05,833,76.06,59.15,8.74,5.87,43.4,14.03,20572.89,0.04,Low ROI,Upgrade today,20% off,Urgent,"Emphasizing premium quality, Focus on time-saving features, Showcasing customer success stories, Promoting fast delivery services",carousel
13,7d299d78,Campaign_2656,Google Ads,2023-06-01,2023-07-12,7899,75.17,12.82,19.45,5.79,74.0,59.43,14547.53,-0.09,Low ROI,Boost your career,20% off,Humorous,"Showcasing behind-the-scenes content, Featuring influencer endorsements, Highlighting award-winning status, Highlighting premium customer support",video
14,6e519919,Campaign_1437,Twitter,2023-01-28,2023-04-23,3615,44.71,54.51,39.61,9.82,-7.0,38.18,23114.97,1.15,Low ROI,Don’t miss out,Exclusive bonus,Inspirational,"Showcasing customer success stories, Promoting exclusive membership benefits, Highlighting award-winning status, Targeting young professionals",carousel
15,c3afa37e,Campaign_3221,Facebook,2023-09-20,2023-10-30,2025,21.35,59.29,33.77,5.73,56.6,15.37,46543.9,-0.32,Low ROI,Upgrade today,Free shipping,Reassuring,"Targeting young professionals, Highlighting long-term cost savings, Encouraging community engagement, Focus on time-saving features",video
16,7e1b225b,Campaign_8845,Twitter,2023-04-06,2023-06-04,6795,22.89,47.92,26.33,13.37,43.2,64.52,24209.31,1.59,Top ROI,Upgrade today,First month free,Inspirational,"Highlighting long-term cost savings, Showcasing behind-the-scenes content, Highlighting limited-time offers, Promoting charitable contributions",video
17,e2e2d5d6,Campaign_3882,Twitter,2023-06-14,2023-07-22,864,15.18,67.63,45.62,15.24,27.7,23.65,46428.0,2.16,Top ROI,Early bird discount,Buy one get one free,Urgent,"Featuring influencer endorsements, Highlighting premium customer support, Promoting charitable contributions, Promoting seasonal discounts",static
18,e438854e,Campaign_2148,Instagram,2023-04-21,2023-06-02,353,75.2,61.81,29.64,9.97,64.4,87.79,14604.49,0.12,Low ROI,Limited time offer,Extended warranty,Motivational,"Showcasing customer success stories, Promoting charitable contributions, Promoting fast delivery services, Focusing on family-oriented benefits",carousel
19,a7e9ec33,Campaign_2730,Google Ads,2023-10-25,2024-01-04,1089,60.61,49.02,18.94,6.43,29.7,6.87,10903.97,3.83,Top ROI,Special launch deal,Early access,Urgent,"Promoting charitable contributions, Highlighting budget-friendly options, Showcasing customization features, Highlighting award-winning status",carousel
20,1d11d71a,Campaign_9229,LinkedIn,2023-08-27,2023-10-14,6870,67.69,58.81,45.86,17.95,58.8,62.81,28557.64,4.18,Top ROI,Join now and save,Exclusive bonus,Motivational,"Showcasing innovative technology, Encouraging community engagement, Emphasizing product versatility, Emphasizing premium quality",static
21,738ade39,Campaign_3579,Google Ads,2023-08-13,2023-09-08,8402,65.3,22.36,38.62,13.86,65.7,58.94,28937.77,2.69,Top ROI,Early bird discount,Free shipping,Humorous,"Showcasing customization features, Encouraging community engagement, Promoting exclusive membership benefits, Focusing on health and wellness benefits",video
22,3db24751,Campaign_4294,LinkedIn,2023-07-09,2023-08-31,2682,37.14,9.81,11.67,5.32,49.1,11.81,13785.27,4.0,Top ROI,Exclusive for members,Extended warranty,Inspirational,"Promoting seasonal discounts, Demonstrating ease of use, Highlighting premium customer support, Promoting exclusive membership benefits",carousel
23,4c572ede,Campaign_8284,Twitter,2023-01-24,2023-02-14,8663,50.07,62.47,5.46,12.57,70.0,91.11,27600.89,3.53,Top ROI,Exclusive for members,Free upgrade,Urgent,"Showcasing customization features, Highlighting premium customer support, Showcasing customer success stories, Highlighting award-winning status",video
24,cda60dd9,Campaign_3546,Google Ads,2023-06-04,2023-07-15,5918,21.82,51.44,44.47,9.58,52.6,74.17,10628.37,1.53,Top ROI,Boost your career,Extended warranty,Inspirational,"Highlighting limited-time offers, Demonstrating step-by-step tutorials, Demonstrating ease of use, Highlighting budget-friendly options",carousel
25,be24c468,Campaign_2256,Twitter,2023-03-04,2023-04-03,1267,48.42,66.91,34.69,5.8,-3.9,20.33,43313.6,2.18,Top ROI,Unlock your potential,Lifetime access,Reassuring,"Highlighting premium customer support, Highlighting long-term cost savings, Showcasing behind-the-scenes content, Demonstrating ease of use",carousel
26,785fe2d9,Campaign_2588,Twitter,2023-05-16,2023-06-02,6929,11.48,55.9,2.97,2.09,54.1,66.09,47675.99,4.84,Top ROI,Limited time offer,First month free,Humorous,"Targeting young professionals, Demonstrating step-by-step tutorials, Highlighting budget-friendly options, Highlighting eco-friendly products",video
27,518ae305,Campaign_3973,Facebook,2023-10-13,2023-12-12,6841,59.58,69.67,48.98,4.42,23.7,56.16,40519.2,4.43,Top ROI,Early bird discount,Early access,Educational,"Emphasizing product versatility, Focus on time-saving features, Demonstrating ease of use, Showcasing innovative technology",static
28,9599d3b7,Campaign_5283,Instagram,2023-09-18,2023-10-18,1970,38.21,54.49,9.69,14.65,67.4,78.98,38696.53,2.76,Top ROI,Early bird discount,First month free,Inspirational,"Focus on time-saving features, Promoting seasonal discounts, Highlighting budget-friendly options, Promoting exclusive membership benefits",carousel
29,91ab3cca,Campaign_2246,Instagram,2023-02-25,2023-05-22,9880,19.38,38.17,2.2,1.73,58.2,60.79,33672.07,3.13,Top ROI,Free trial available,First month free,Educational,"Promoting fast delivery services, Showcasing behind-the-scenes content, Showcasing customization features, Encouraging community engagement",video
30,e1cb2cfa,Campaign_2807,Instagram,2023-05-13,2023-07-03,950,56.53,61.01,1.79,2.19,37.9,98.81,29640.36,4.29,Top ROI,Early bird discount,Exclusive bonus,Inspirational,"Promoting exclusive membership benefits, Highlighting long-term cost savings, Promoting fast delivery services, Showcasing behind-the-scenes content",carousel
31,73673f95,Campaign_7344,Instagram,2023-10-12,2023-11-08,708,28.2,9.32,31.25,5.94,57.6,73.95,46529.46,0.45,Low ROI,Don’t miss out,Buy one get one free,Reassuring,"Highlighting eco-friendly products, Encouraging community engagement, Promoting seasonal discounts, Showcasing customization features",carousel
32,e5fb2a90,Campaign_9297,LinkedIn,2023-06-19,2023-07-30,5125,31.44,35.99,44.19,0.66,60.7,84.06,35839.13,2.08,Top ROI,Join now and save,Lifetime access,Motivational,"Emphasizing product versatility, Promoting charitable contributions, Promoting seasonal discounts, Showcasing customization features",video
33,d2c9c71a,Campaign_2145,Instagram,2023-06-03,2023-08-10,4944,69.47,7.48,30.51,13.54,76.5,16.73,47769.51,4.98,Top ROI,Don’t miss out,Extended warranty,Motivational,"Demonstrating ease of use, Promoting exclusive membership benefits, Demonstrating step-by-step tutorials, Promoting charitable contributions",carousel
34,dbb86b34,Campaign_7390,Twitter,2023-07-17,2023-09-28,8246,75.7,54.37,36.05,13.21,61.6,10.07,38744.8,2.47,Top ROI,Upgrade today,20% off,Reassuring,"Promoting exclusive membership benefits, Showcasing customization features, Promoting fast delivery services, Promoting seasonal discounts",carousel
35,f73a83b2,Campaign_9195,Facebook,2023-08-30,2023-11-18,5391,69.73,28.3,30.52,10.88,43.3,97.03,34962.1,1.28,Low ROI,Don’t miss out,Buy one get one free,Urgent,"Highlighting long-term cost savings, Highlighting limited-time offers, Highlighting budget-friendly options, Encouraging community engagement",static
36,de8a4bc8,Campaign_1148,Twitter,2023-07-03,2023-09-09,1977,51.59,38.27,34.52,10.78,21.9,10.2,27531.62,2.7,Top ROI,Free trial available,Cashback offer,Motivational,"Highlighting award-winning status, Promoting fast delivery services, Focusing on family-oriented benefits, Focusing on health and wellness benefits",video
37,5c2efb76,Campaign_9439,Google Ads,2023-02-25,2023-05-04,8788,27.32,63.43,3.51,1.7,71.0,28.44,39960.86,4.27,Top ROI,Special launch deal,Extended warranty,Humorous,"Emphasizing premium quality, Highlighting long-term cost savings, Highlighting premium customer support, Promoting seasonal discounts",carousel
38,d80332c8,Campaign_3119,Instagram,2023-05-09,2023-06-16,4223,73.25,60.03,24.16,17.2,61.4,7.74,5692.41,1.83,Top ROI,Don’t miss out,Free upgrade,Inspirational,"Showcasing customization features, Highlighting long-term cost savings, Promoting seasonal discounts, Showcasing behind-the-scenes content",static
39,6e27f010,Campaign_6988,Twitter,2023-01-13,2023-03-02,2152,14.53,59.17,20.2,1.99,32.3,65.75,6521.67,1.71,Top ROI,Upgrade today,Free upgrade,Inspirational,"Showcasing customer success stories, Highlighting limited-time offers, Highlighting eco-friendly products, Emphasizing premium quality",static
40,343acebe,Campaign_6361,Google Ads,2023-05-14,2023-07-26,9810,16.87,10.7,21.91,4.54,56.1,77.46,29681.77,2.63,Top ROI,Limited time offer,Lifetime access,Motivational,"Emphasizing product versatility, Demonstrating ease of use, Focus on time-saving features, Showcasing customer success stories",static
41,737bc39c,Campaign_6095,Google Ads,2023-05-12,2023-08-07,7690,64.51,11.25,29.1,5.19,38.7,89.99,12397.86,2.29,Top ROI,Free trial available,20% off,Urgent,"Highlighting limited-time offers, Focusing on health and wellness benefits, Targeting young professionals, Showcasing customization features",video
42,79b45f22,Campaign_7487,Twitter,2023-04-20,2023-07-04,9048,53.98,16.09,1.54,13.71,72.3,10.14,20536.55,3.25,Top ROI,Unlock your potential,Cashback offer,Inspirational,"Targeting young professionals, Highlighting eco-friendly products, Emphasizing product versatility, Focusing on family-oriented benefits",carousel
43,b6e7d477,Campaign_7285,Facebook,2023-05-11,2023-07-21,296,54.64,26.4,26.66,13.37,-6.6,80.33,8906.83,0.3,Low ROI,Early bird discount,Lifetime access,Humorous,"Promoting seasonal discounts, Showcasing behind-the-scenes content, Highlighting eco-friendly products, Demonstrating ease of use",carousel
44,07714255,Campaign_1829,Facebook,2023-01-01,2023-02-14,5997,61.03,60.36,14.24,14.48,42.3,73.47,20557.46,2.0,Top ROI,Special launch deal,Free upgrade,Urgent,"Focus on time-saving features, Focusing on family-oriented benefits, Showcasing customization features, Highlighting eco-friendly products",video
45,0a698c09,Campaign_2119,Twitter,2023-05-21,2023-08-09,2219,34.57,43.43,37.54,8.47,38.9,26.76,39624.83,4.13,Top ROI,Don’t miss out,Early access,Motivational,"Promoting charitable contributions, Highlighting budget-friendly options, Promoting seasonal discounts, Showcasing behind-the-scenes content",video
46,01dc72d4,Campaign_1576,Twitter,2023-08-13,2023-11-09,3539,78.12,32.4,31.57,18.1,25.0,91.65,49259.12,2.2,Top ROI,Don’t miss out,Buy one get one free,Motivational,"Highlighting long-term cost savings, Demonstrating step-by-step tutorials, Highlighting budget-friendly options, Focusing on health and wellness benefits",static
47,16743519,Campaign_4114,LinkedIn,2023-10-07,2023-11-30,7564,32.33,19.58,17.65,9.34,63.2,37.83,19829.3,4.08,Top ROI,Exclusive for members,20% off,Inspirational,"Promoting seasonal discounts, Promoting charitable contributions, Promoting fast delivery services, Highlighting limited-time offers",static
48,797fb3c0,Campaign_1721,Google Ads,2023-04-05,2023-06-23,8780,33.99,58.66,33.04,7.72,75.5,85.43,12595.64,0.98,Low ROI,Join now and save,First month free,Educational,"Emphasizing product versatility, Promoting seasonal discounts, Targeting young professionals, Promoting charitable contributions",carousel
49,801d037a,Campaign_4723,LinkedIn,2023-07-01,2023-09-14,374,12.34,37.46,23.93,10.39,16.5,2.96,20976.18,4.3,Top ROI,Early bird discount,20% off,Inspirational,"Showcasing customization features, Showcasing customer success stories, Highlighting eco-friendly products, Focusing on family-oriented benefits",video
50,6ee55383,Campaign_7383,Facebook,2023-05-07,2023-08-05,7966,73.69,49.78,9.98,5.15,53.2,4.15,42384.93,4.31,Top ROI,Unlock your potential,Early access,Motivational,"Focusing on health and wellness benefits, Highlighting eco-friendly products, Highlighting budget-friendly options, Promoting seasonal discounts",carousel
51,9bbd2318,Campaign_9582,Instagram,2023-08-22,2023-09-07,7279,25.1,53.33,28.16,13.43,25.2,8.08,14958.17,-0.33,Low ROI,Limited time offer,Extended warranty,Inspirational,"Demonstrating step-by-step tutorials, Showcasing innovative technology, Focusing on health and wellness benefits, Promoting charitable contributions",static
52,c8fb1fe3,Campaign_9568,Twitter,2023-07-08,2023-09-09,8106,12.89,7.18,22.0,5.05,65.8,96.74,41792.12,2.94,Top ROI,Free trial available,Early access,Reassuring,"Highlighting premium customer support, Highlighting award-winning status, Showcasing behind-the-scenes content, Promoting fast delivery services",carousel
53,3281114a,Campaign_5126,Facebook,2023-04-07,2023-05-13,709,58.38,33.74,29.12,10.16,55.5,82.38,14284.78,3.66,Top ROI,Unlock your potential,Free upgrade,Reassuring,"Focus on time-saving features, Demonstrating ease of use, Showcasing customization features, Showcasing behind-the-scenes content",video
54,c867fca1,Campaign_7628,Twitter,2023-07-22,2023-08-02,349,21.43,8.17,21.66,5.42,16.3,43.55,45816.7,1.92,Top ROI,Exclusive for members,Exclusive bonus,Motivational,"Showcasing innovative technology, Promoting seasonal discounts, Highlighting long-term cost savings, Highlighting award-winning status",static
55,34ee9d4d,Campaign_9721,Facebook,2023-08-04,2023-08-14,7628,45.61,63.95,10.14,16.55,-9.2,96.47,45906.29,1.61,Top ROI,Unlock your potential,Free shipping,Humorous,"Focusing on health and wellness benefits, Emphasizing product versatility, Showcasing innovative technology, Demonstrating step-by-step tutorials",carousel
56,baceb187,Campaign_7328,Google Ads,2023-04-26,2023-07-23,648,38.68,45.87,3.88,13.63,42.1,69.41,33932.81,2.68,Top ROI,Unlock your potential,Free upgrade,Humorous,"Demonstrating ease of use, Showcasing innovative technology, Promoting exclusive membership benefits, Showcasing behind-the-scenes content",static
57,417fba49,Campaign_7938,Instagram,2023-04-22,2023-06-29,4623,23.77,46.57,46.46,3.58,9.9,62.05,24944.16,4.63,Top ROI,Boost your career,First month free,Humorous,"Highlighting premium customer support, Showcasing innovative technology, Promoting seasonal discounts, Demonstrating step-by-step tutorials",carousel
58,db950c3a,Campaign_9174,Twitter,2023-01-04,2023-03-06,9687,43.41,41.63,24.37,1.47,67.5,89.14,14768.94,1.07,Low ROI,Special launch deal,Early access,Inspirational,"Featuring influencer endorsements, Showcasing customer success stories, Focusing on health and wellness benefits, Highlighting award-winning status",static
59,6eddf462,Campaign_3262,Twitter,2023-08-27,2023-11-13,7589,73.28,40.59,10.67,6.77,-0.6,98.85,37169.0,3.89,Top ROI,Free trial available,20% off,Reassuring,"Showcasing behind-the-scenes content, Emphasizing premium quality, Showcasing customer success stories, Targeting young professionals",static
60,ab422b71,Campaign_2965,LinkedIn,2023-02-03,2023-02-17,308,61.07,38.35,42.32,4.42,28.0,57.16,40309.94,1.33,Low ROI,Join now and save,Lifetime access,Educational,"Encouraging community engagement, Featuring influencer endorsements, Highlighting premium customer support, Highlighting long-term cost savings",carousel
61,9f3db69d,Campaign_2647,Google Ads,2023-02-21,2023-05-14,1395,48.61,34.21,42.06,14.73,5.5,83.7,15291.21,1.65,Top ROI,Unlock your potential,Exclusive bonus,Reassuring,"Featuring influencer endorsements, Showcasing customization features, Emphasizing premium quality, Highlighting limited-time offers",video
62,35375710,Campaign_2235,Instagram,2023-04-18,2023-07-09,7167,72.36,6.28,46.98,13.36,18.1,35.12,6267.23,4.75,Top ROI,Boost your career,Exclusive bonus,Educational,"Emphasizing premium quality, Demonstrating ease of use, Targeting young professionals, Highlighting budget-friendly options",static
63,27beecf5,Campaign_4685,Instagram,2023-01-02,2023-03-05,5461,19.17,55.73,32.65,17.68,77.2,22.74,16731.6,0.67,Low ROI,Unlock your potential,First month free,Humorous,"Focus on time-saving features, Highlighting budget-friendly options, Targeting young professionals, Showcasing customer success stories",static
64,2d88bc80,Campaign_3111,Google Ads,2023-10-28,2023-12-09,896,21.33,50.05,45.44,5.07,70.9,82.61,41869.55,1.5,Top ROI,Don’t miss out,Exclusive bonus,Reassuring,"Featuring influencer endorsements, Promoting exclusive membership benefits, Emphasizing premium quality, Emphasizing product versatility",static
65,2c8c1c73,Campaign_9763,LinkedIn,2023-01-26,2023-03-30,8966,29.29,32.36,25.66,8.35,24.3,49.29,38502.08,1.2,Low ROI,Early bird discount,Free upgrade,Inspirational,"Showcasing behind-the-scenes content, Showcasing customer success stories, Highlighting award-winning status, Demonstrating ease of use",carousel
66,411f4c4a,Campaign_1538,Facebook,2023-04-25,2023-06-20,2149,68.79,69.68,17.82,7.01,41.4,17.96,8423.67,3.57,Top ROI,Early bird discount,Free upgrade,Inspirational,"Highlighting budget-friendly options, Promoting exclusive membership benefits, Featuring influencer endorsements, Focusing on family-oriented benefits",video
67,ba9d44f2,Campaign_6186,Instagram,2023-04-29,2023-07-13,1623,71.4,51.08,13.53,0.59,76.7,90.96,28203.84,1.38,Low ROI,Join now and save,Free shipping,Reassuring,"Highlighting budget-friendly options, Showcasing behind-the-scenes content, Showcasing customer success stories, Promoting exclusive membership benefits",video
68,cd32393d,Campaign_2989,Facebook,2023-04-06,2023-05-18,3498,11.67,68.17,32.1,17.14,-3.3,69.35,10382.55,1.3,Low ROI,Unlock your potential,Early access,Reassuring,"Showcasing customization features, Highlighting award-winning status, Promoting fast delivery services, Promoting seasonal discounts",carousel
69,4c64dae0,Campaign_4834,Instagram,2023-01-06,2023-02-28,5047,71.78,53.81,39.56,17.02,63.4,93.42,46092.81,2.54,Top ROI,Don’t miss out,Free upgrade,Educational,"Highlighting eco-friendly products, Emphasizing premium quality, Highlighting long-term cost savings, Promoting charitable contributions",carousel
70,2e36e54b,Campaign_3583,Facebook,2023-04-23,2023-06-20,2054,12.69,35.98,2.66,15.84,39.7,82.37,44509.78,3.5,Top ROI,Limited time offer,20% off,Inspirational,"Showcasing customer success stories, Highlighting budget-friendly options, Focusing on health and wellness benefits, Demonstrating ease of use",carousel
71,df5b4000,Campaign_7836,Instagram,2023-08-02,2023-08-31,6365,69.09,6.77,42.4,2.37,76.7,52.08,37413.32,2.47,Top ROI,Free trial available,First month free,Urgent,"Highlighting eco-friendly products, Emphasizing premium quality, Focusing on family-oriented benefits, Showcasing behind-the-scenes content",carousel
72,d70ff40a,Campaign_3925,LinkedIn,2023-05-27,2023-06-11,4509,40.32,29.92,21.79,4.62,76.3,72.47,33912.59,2.47,Top ROI,Exclusive for members,Buy one get one free,Educational,"Showcasing customer success stories, Emphasizing product versatility, Demonstrating ease of use, Showcasing customization features",static
73,96eb366e,Campaign_5413,Google Ads,2023-08-27,2023-09-28,8059,62.87,47.36,25.24,18.84,53.0,78.83,12571.95,3.97,Top ROI,Upgrade today,Exclusive bonus,Motivational,"Demonstrating ease of use, Promoting charitable contributions, Showcasing customization features, Promoting seasonal discounts",video
74,b9f42801,Campaign_6637,Google Ads,2023-10-03,2023-10-23,8963,40.92,11.58,14.06,8.46,70.9,75.98,31441.5,3.84,Top ROI,Exclusive for members,Buy one get one free,Humorous,"Highlighting limited-time offers, Promoting fast delivery services, Emphasizing product versatility, Demonstrating step-by-step tutorials",static
75,82448a3d,Campaign_6552,Twitter,2023-02-18,2023-05-10,8838,13.51,8.71,25.62,15.0,78.4,5.96,3843.55,-0.19,Low ROI,Special launch deal,Exclusive bonus,Urgent,"Showcasing innovative technology, Highlighting limited-time offers, Promoting seasonal discounts, Focusing on health and wellness benefits",carousel
76,42167ff0,Campaign_4445,LinkedIn,2023-05-08,2023-06-03,9230,39.67,31.35,37.79,5.66,53.7,16.96,5148.65,4.86,Top ROI,Boost your career,20% off,Reassuring,"Promoting charitable contributions, Highlighting long-term cost savings, Promoting seasonal discounts, Showcasing behind-the-scenes content",static
77,fdbb22af,Campaign_3368,Google Ads,2023-01-16,2023-03-20,8249,43.76,66.53,14.24,16.3,70.6,66.94,31519.62,1.35,Low ROI,Upgrade today,Buy one get one free,Educational,"Highlighting premium customer support, Highlighting eco-friendly products, Highlighting award-winning status, Emphasizing premium quality",carousel
78,8ac3463c,Campaign_9967,Twitter,2023-08-11,2023-09-10,4630,37.96,23.1,4.46,19.99,77.3,15.16,49923.23,4.72,Top ROI,Don’t miss out,First month free,Motivational,"Showcasing customization features, Promoting exclusive membership benefits, Encouraging community engagement, Emphasizing premium quality",static
79,0bc24742,Campaign_7233,Facebook,2023-09-08,2023-12-03,4720,29.25,61.16,20.13,4.02,37.3,98.56,35873.36,0.53,Low ROI,Boost your career,Exclusive bonus,Reassuring,"Highlighting eco-friendly products, Promoting seasonal discounts, Promoting exclusive membership benefits, Emphasizing product versatility",static
80,2e553b2e,Campaign_9068,Google Ads,2023-10-10,2023-12-29,7993,67.2,10.47,20.35,6.68,74.1,64.87,18155.65,-0.45,Low ROI,Early bird discount,Exclusive bonus,Educational,"Encouraging community engagement, Featuring influencer endorsements, Focus on time-saving features, Focusing on health and wellness benefits",video
81,95c49293,Campaign_5410,Google Ads,2023-09-26,2023-11-15,5596,38.92,68.62,15.44,18.08,5.8,73.41,9805.95,0.89,Low ROI,Exclusive for members,20% off,Humorous,"Promoting fast delivery services, Emphasizing premium quality, Promoting charitable contributions, Promoting seasonal discounts",carousel
82,df3e0f5a,Campaign_6012,LinkedIn,2023-08-12,2023-10-26,8388,24.19,57.85,47.84,4.94,41.3,50.35,23039.66,3.86,Top ROI,Early bird discount,Lifetime access,Urgent,"Showcasing customer success stories, Targeting young professionals, Showcasing behind-the-scenes content, Focus on time-saving features",static
83,f7e2ba2f,Campaign_3518,Twitter,2023-07-09,2023-07-27,4476,27.2,28.4,23.77,5.12,75.4,99.19,12146.97,2.63,Top ROI,Boost your career,Lifetime access,Educational,"Highlighting long-term cost savings, Focus on time-saving features, Promoting seasonal discounts, Focusing on health and wellness benefits",static
84,41c9425d,Campaign_8477,Facebook,2023-03-10,2023-05-14,1828,73.36,60.14,37.59,1.1,-3.6,63.74,39289.52,0.09,Low ROI,Boost your career,Free upgrade,Humorous,"Emphasizing premium quality, Promoting charitable contributions, Encouraging community engagement, Highlighting budget-friendly options",static
85,5c7bc2a3,Campaign_4858,Instagram,2023-07-05,2023-07-16,3601,34.58,56.05,16.27,7.81,28.2,7.04,9537.04,2.94,Top ROI,Early bird discount,20% off,Humorous,"Focusing on family-oriented benefits, Demonstrating step-by-step tutorials, Promoting charitable contributions, Promoting fast delivery services",static
86,77dea26b,Campaign_5853,Google Ads,2023-05-24,2023-07-12,9231,24.87,43.56,30.0,11.15,-1.0,44.33,13338.03,0.01,Low ROI,Unlock your potential,20% off,Inspirational,"Encouraging community engagement, Emphasizing premium quality, Highlighting eco-friendly products, Highlighting long-term cost savings",video
87,d6ad3855,Campaign_1854,Instagram,2023-03-16,2023-06-07,9088,62.87,39.03,21.36,9.76,21.6,61.6,29329.16,3.94,Top ROI,Join now and save,Exclusive bonus,Urgent,"Highlighting long-term cost savings, Showcasing behind-the-scenes content, Promoting charitable contributions, Focusing on health and wellness benefits",carousel
88,81f663ce,Campaign_5074,Google Ads,2023-10-21,2023-11-29,2869,57.29,47.62,48.41,13.82,13.2,24.94,11471.0,2.11,Top ROI,Upgrade today,First month free,Inspirational,"Showcasing innovative technology, Promoting charitable contributions, Highlighting award-winning status, Highlighting budget-friendly options",static
89,8f4c8552,Campaign_6165,Instagram,2023-08-19,2023-10-25,158,38.12,28.52,38.82,10.91,50.0,97.16,26568.67,3.13,Top ROI,Exclusive for members,First month free,Humorous,"Targeting young professionals, Highlighting premium customer support, Emphasizing premium quality, Highlighting limited-time offers",carousel
90,70ecf3c3,Campaign_3076,Twitter,2023-04-07,2023-05-26,8792,15.05,47.33,46.85,11.47,35.4,98.77,17830.78,2.1,Top ROI,Early bird discount,20% off,Urgent,"Highlighting limited-time offers, Showcasing customer success stories, Emphasizing product versatility, Highlighting premium customer support",static
91,0503684d,Campaign_4168,Facebook,2023-01-01,2023-02-02,7149,59.78,43.46,46.02,9.4,2.5,13.44,29489.8,3.32,Top ROI,Exclusive for members,First month free,Motivational,"Promoting fast delivery services, Showcasing customization features, Focusing on health and wellness benefits, Highlighting long-term cost savings",static
92,5fc9931a,Campaign_3746,Google Ads,2023-04-19,2023-06-16,7222,27.46,27.36,44.36,5.51,57.7,37.1,22541.95,1.96,Top ROI,Join now and save,Free shipping,Urgent,"Highlighting budget-friendly options, Showcasing behind-the-scenes content, Highlighting long-term cost savings, Emphasizing product versatility",carousel
